        0.00096755        0.00170064
        0.00193511        0.00670969
        0.00290266        0.01393137
        0.00387021        0.02209627
        0.00483777        0.03107727
        0.00580532        0.04135706
        0.00677288        0.05334942
        0.00774043        0.06728032
        0.00870798        0.08328041
        0.00967554        0.10167909
        0.01064309        0.12278642
        0.01161064        0.14644574
        0.01257820        0.17254854
        0.01354575        0.20130005
        0.01451331        0.23231350
        0.01548086        0.26446839
        0.01644841        0.29637294
        0.01741597        0.32696716
        0.01838352        0.35648764
        0.01935107        0.38674944
        0.02031863        0.42040631
        0.02128618        0.45975100
        0.02225374        0.50528667
        0.02322129        0.55534509
        0.02418884        0.60725482
        0.02515640        0.65818015
        0.02612395        0.70606700
        0.02709150        0.75113630
        0.02805906        0.79639541
        0.02902661        0.84650236
        0.02999417        0.90554551
        0.03096172        0.97479892
        0.03192927        1.05191832
        0.03289683        1.13164807
        0.03386438        1.20726452
        0.03483193        1.27330451
        0.03579949        1.32864385
        0.03676704        1.37767211
        0.03773460        1.42852262
        0.03870215        1.48910045
        0.03966970        1.56279582
        0.04063726        1.64668416
        0.04160481        1.73298195
        0.04257236        1.81267713
        0.04353992        1.88000269
        0.04450747        1.93580319
        0.04547503        1.98776445
        0.04644258        2.04724299
        0.04741013        2.12393958
        0.04837769        2.22124704
        0.04934524        2.33456181
        0.05031279        2.45269299
        0.05128035        2.56217161
        0.05224790        2.65330521
        0.05321546        2.72481608
        0.05418301        2.78464651
        0.05515056        2.84668341
        0.05611812        2.92481860
        0.05708567        3.02637549
        0.05805322        3.14703268
        0.05902078        3.27131667
        0.05998833        3.38081664
        0.06095589        3.46376860
        0.06192344        3.52017488
        0.06289099        3.56137731
        0.06385855        3.60559340
        0.06482610        3.67080352
        0.06579365        3.76667301
        0.06676121        3.88864573
        0.06772876        4.01950228
        0.06869631        4.13891532
        0.06966387        4.23331809
        0.07063142        4.30109009
        0.07159898        4.35246810
        0.07256653        4.40578313
        0.07353408        4.48117729
        0.07450164        4.59176681
        0.07546919        4.73380563
        0.07643674        4.88565276
        0.07740430        5.02034991
        0.07837185        5.11937925
        0.07933941        5.17899821
        0.08030696        5.21042813
        0.08127451        5.23646420
        0.08224207        5.28442913
        0.08320962        5.37309687
        0.08417717        5.49884494
        0.08514473        5.63733833
        0.08611228        5.75997586
        0.08707984        5.84770944
        0.08804739        5.89650687
        0.08901494        5.91766998
        0.08998250        5.93536286
        0.09095005        5.97978202
        0.09191760        6.07294503
        0.09288516        6.21234947
